gene_id,s_mtsc_complete_wt_rep2,s_mtsc_ezr_d1_td_single_tdbl_rep2,s_mtsc_klf5_a3_tdbl_first_half_rep2,s_mtsc_krt8_18_f7_tftd_dis_insertion_tf,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep2
ENSMUSG00000001120,740,958,845,986,960,985
ENSMUSG00000001123,634,734,370,1362,388,863
ENSMUSG00000001127,3973,4971,3935,4384,4785,4677
ENSMUSG00000001128,179,299,206,260,247,258
ENSMUSG00000001131,1064,2629,1150,785,230,1858
ENSMUSG00000001134,809,1063,958,1033,1039,1020
ENSMUSG00000001138,1314,1672,1517,1546,1387,1715
ENSMUSG00000001143,899,1173,1022,1085,1203,1235
ENSMUSG00000001150,7408,8309,7708,8270,8863,8862
ENSMUSG00000001151,5619,6335,5173,6548,6161,6462
ENSMUSG00000001155,0,0,0,0,0,0
ENSMUSG00000001156,287,377,338,469,482,323
ENSMUSG00000001157,1250,1356,1256,1542,1480,1376
ENSMUSG00000001158,2720,3058,3131,3028,3459,3453
ENSMUSG00000001166,68,115,103,98,74,142
ENSMUSG00000001168,0,1,0,3,2,1
ENSMUSG00000001173,2372,2591,2051,2301,2530,2710
ENSMUSG00000001175,15618,19677,16958,18552,20369,18749
ENSMUSG00000001211,4378,4657,5048,5179,5245,4746
ENSMUSG00000001225,0,0,0,0,0,0
ENSMUSG00000001227,2367,3007,3075,2958,1796,3620
ENSMUSG00000001228,21680,24137,25342,25209,22096,25331
ENSMUSG00000001229,3605,4075,3861,4171,4193,4198
ENSMUSG00000001240,210,309,292,300,285,355
ENSMUSG00000001247,2555,2617,3158,3479,2914,3040
ENSMUSG00000001248,4214,5737,4559,5212,5226,5119
ENSMUSG00000001249,81,91,76,126,89,140
ENSMUSG00000001260,0,0,0,4,0,0
ENSMUSG00000001270,32732,37382,37958,35653,41427,39890
ENSMUSG00000001280,12692,14229,8180,15961,16480,14473
ENSMUSG00000001281,11,7,11,20,17,12
ENSMUSG00000001285,2168,2696,2436,2349,2253,2172
ENSMUSG00000001288,1507,1652,1579,1700,1711,1692
ENSMUSG00000001289,5291,6322,6531,5940,6748,6496
ENSMUSG00000001300,4097,7211,2690,6721,5085,6605
ENSMUSG00000001305,5291,6575,6271,5589,6137,6453
ENSMUSG00000001313,294,474,270,375,186,331
ENSMUSG00000001323,975,1264,1016,1209,1361,1430
ENSMUSG00000001333,513,520,445,463,847,473
ENSMUSG00000001334,260,242,273,372,279,239
ENSMUSG00000001348,293,475,342,384,212,544
ENSMUSG00000001349,4,1,6,0,2,1
ENSMUSG00000001366,1180,1302,1137,1374,1055,1296
ENSMUSG00000001376,3461,4761,3378,4263,3993,4314
ENSMUSG00000001380,8289,9934,9353,9161,9752,9750
ENSMUSG00000001383,6981,8721,7941,7791,7430,8186
ENSMUSG00000001403,9074,10956,11220,10503,12254,10820
ENSMUSG00000001415,10833,12786,12541,12554,12242,14132
ENSMUSG00000001416,36643,42959,42555,40741,41545,42653
ENSMUSG00000001418,3157,4974,925,1007,342,3274
ENSMUSG00000001419,14988,16657,14384,16333,17857,17533
ENSMUSG00000001420,277,298,214,262,125,434
ENSMUSG00000001424,13465,16976,16075,15516,16319,17536
ENSMUSG00000001435,7798,7927,8777,13588,6792,9968
ENSMUSG00000001436,1680,1956,1790,1752,1535,2003
ENSMUSG00000001440,49163,53396,48467,54078,55974,52907
ENSMUSG00000001441,8379,9436,8491,9809,10683,8888
ENSMUSG00000001444,29,27,17,26,29,24
ENSMUSG00000001445,5367,6766,6524,5917,6686,6751
ENSMUSG00000001467,10458,13350,11188,11285,11551,13040
ENSMUSG00000001472,14477,18375,17846,18353,17263,18468
ENSMUSG00000001473,17250,21153,20781,20890,21028,19548
ENSMUSG00000001482,5262,6023,5515,5981,5935,7204
ENSMUSG00000001493,3,1,0,0,2,3
ENSMUSG00000001494,7,8,8,24,3,6
ENSMUSG00000001496,8,3,6,6,13,2
ENSMUSG00000001497,440,508,446,393,535,550
ENSMUSG00000001504,2036,2734,2358,2180,3417,2643
ENSMUSG00000001506,65,118,79,247,74,48
ENSMUSG00000001507,12832,12908,12510,16953,13772,14856
ENSMUSG00000001508,0,0,0,1,1,0
ENSMUSG00000001510,253,297,303,361,375,323
ENSMUSG00000001517,8960,8816,9533,9339,11218,8720
ENSMUSG00000001518,1088,1361,1463,1397,1584,1366
ENSMUSG00000001520,4,1,3,4,2,1
ENSMUSG00000001521,2482,2913,2616,2432,2895,2645
ENSMUSG00000001524,1950,2279,2358,2125,2410,2482
ENSMUSG00000001525,93995,110742,115241,106721,110663,103878
ENSMUSG00000001542,843,942,694,871,964,929
ENSMUSG00000001552,20098,23170,23413,24554,27107,24536
ENSMUSG00000001555,2155,958,1617,1575,1950,610
ENSMUSG00000001558,59,71,73,51,66,101
ENSMUSG00000001566,24,51,37,49,52,39
ENSMUSG00000001569,6005,6965,6658,7011,6486,7192
ENSMUSG00000001576,5350,5677,5518,6447,8803,6012
ENSMUSG00000001583,335,431,432,440,410,708
ENSMUSG00000001588,10562,11147,13671,12467,15576,11244
ENSMUSG00000001604,531,502,752,794,950,530
ENSMUSG00000001622,0,0,1,0,0,0
ENSMUSG00000001627,5127,5818,5543,7471,7524,5187
ENSMUSG00000001630,1291,1818,1325,1936,1857,1768
ENSMUSG00000001632,6039,7077,6647,7272,6999,7346
ENSMUSG00000001642,2832,3222,3377,3135,3152,3236
ENSMUSG00000001655,462,617,553,799,1162,451
ENSMUSG00000001656,88,95,116,128,122,89
ENSMUSG00000001657,83,105,84,141,74,106
ENSMUSG00000001661,133,189,161,174,66,237
ENSMUSG00000001663,8,5,1,8,1,0
ENSMUSG00000001665,192,193,118,270,210,47
ENSMUSG00000001666,756,926,886,728,751,820
ENSMUSG00000001670,0,0,1,0,0,1
ENSMUSG00000001672,167,243,185,228,182,313
ENSMUSG00000001674,7339,8538,7820,8536,8645,8830
ENSMUSG00000001687,2433,2936,2684,3079,3743,2860
ENSMUSG00000001700,1487,1863,1742,1736,2119,2173
ENSMUSG00000001707,4894,5760,5332,5719,6425,6142
ENSMUSG00000001729,17178,19677,19215,19749,18037,24379
ENSMUSG00000001739,14,18,20,60,55,16
ENSMUSG00000001741,0,0,0,0,0,0
ENSMUSG00000001750,4081,6150,4854,4739,4630,6275
ENSMUSG00000001751,321,322,314,490,473,330
ENSMUSG00000001755,3439,3776,3981,3478,4012,4206
ENSMUSG00000001761,2274,2369,2557,2884,3131,2142
ENSMUSG00000001763,448,655,718,576,854,569
ENSMUSG00000001767,3702,4771,4028,4553,4592,4504
