gene_id,s_mtsc_complete_wt,s_mtsc_ezr_a1_td_single_tdbl,s_mtsc_ezr_d1_td_single_tdbl,s_mtsc_klf5_a3_tdbl_first_half,s_mtsc_klf5_d3_tdbl_first_half,s_mtsc_rin3_g2_tftd_dis_homozy_del,s_mtsc_rin3_h2_tftd_dis_insertion_td
ENSMUSG00000001156,295,191,281,244,263,312,337
ENSMUSG00000001157,1085,930,1125,998,1373,1116,1179
ENSMUSG00000001158,2291,1380,1890,1681,2832,2345,2248
ENSMUSG00000001166,50,80,69,67,90,140,76
ENSMUSG00000001168,2,0,0,0,0,1,0
ENSMUSG00000001173,2460,2226,1709,1640,1632,1964,2183
ENSMUSG00000001175,12649,12497,17437,14149,13404,15872,12342
ENSMUSG00000001211,4271,3293,3968,3814,3704,3858,3476
ENSMUSG00000001225,1,0,3,0,0,0,1
ENSMUSG00000001227,1999,2085,1854,1527,2065,2482,1558
ENSMUSG00000001228,20939,14103,20776,19584,22853,19983,16973
ENSMUSG00000001229,3444,3484,4013,3485,3505,3586,3436
ENSMUSG00000001240,232,64,183,198,77,284,255
ENSMUSG00000001247,2689,2022,2605,2598,1704,2363,1836
ENSMUSG00000001248,4041,3328,4206,3076,3732,3852,3792
ENSMUSG00000001249,103,59,72,38,46,141,69
ENSMUSG00000001260,0,0,0,1,1,1,0
ENSMUSG00000001270,27227,26911,29017,23170,21876,35049,26325
ENSMUSG00000001280,12020,9236,10354,7759,9203,10615,11840
ENSMUSG00000001281,16,3,12,13,12,16,11
ENSMUSG00000001285,1647,1221,1997,1656,2123,1828,1618
ENSMUSG00000001288,1267,1279,1498,1337,1627,1527,1414
ENSMUSG00000001289,3875,2546,3876,3253,3871,4379,3691
ENSMUSG00000001300,4818,2028,8863,4036,1620,6720,3222
ENSMUSG00000001305,4342,3537,4687,4245,4215,4606,3717
ENSMUSG00000001313,130,151,376,223,288,315,199
ENSMUSG00000001323,929,1005,724,604,641,1039,988
ENSMUSG00000001333,420,476,454,441,323,418,488
ENSMUSG00000001334,324,76,184,155,182,215,280
ENSMUSG00000001348,174,224,524,323,221,579,190
ENSMUSG00000001349,2,2,0,6,1,1,2
ENSMUSG00000001366,938,976,1021,876,787,968,874
ENSMUSG00000001376,3512,2520,3889,3328,4367,3420,2878
ENSMUSG00000001380,6385,6368,7225,6190,6264,7223,5837
ENSMUSG00000001383,5024,4444,5550,4589,4910,6142,4609
ENSMUSG00000001403,8634,6403,8336,8080,9248,9132,8176
ENSMUSG00000001415,9278,5538,9533,9022,8412,10638,9492
ENSMUSG00000001416,28196,20808,31081,28138,28662,32518,25489
ENSMUSG00000001418,3368,503,4327,739,2247,2756,1031
ENSMUSG00000001419,16468,10435,14468,13147,12138,12589,13719
ENSMUSG00000001420,223,145,286,139,207,353,173
ENSMUSG00000001424,13582,8654,13207,11139,19147,15867,13192
ENSMUSG00000001435,10832,4434,8257,8617,7976,13028,9752
ENSMUSG00000001436,1349,924,1724,1576,1416,1670,1285
ENSMUSG00000001440,44870,60473,49636,45834,38142,42944,38967
ENSMUSG00000001441,7886,11431,8572,7725,6821,7865,6565
ENSMUSG00000001444,22,2,24,16,43,26,11
ENSMUSG00000001445,5042,7399,4682,4179,5185,5457,4928
ENSMUSG00000001467,9433,5736,9100,7493,6448,10701,8702
ENSMUSG00000001472,15162,12335,15306,12765,13374,15394,12787
ENSMUSG00000001473,11914,16346,18900,15604,13982,16821,13065
ENSMUSG00000001482,4492,3284,4800,4223,4743,6355,4466
ENSMUSG00000001493,0,1,4,3,0,0,4
ENSMUSG00000001494,6,0,4,2,3,5,13
ENSMUSG00000001496,1,1,3,3,7,5,14
ENSMUSG00000001497,480,462,364,349,291,375,363
ENSMUSG00000001504,1911,1219,1971,1573,1654,1802,1893
ENSMUSG00000001506,73,21,148,87,96,60,63
ENSMUSG00000001507,11052,18923,11513,9519,13936,11134,10226
ENSMUSG00000001508,0,1,1,0,1,0,2
ENSMUSG00000001510,273,128,234,238,186,290,279
ENSMUSG00000001517,8147,7031,7563,7661,10847,7359,8604
ENSMUSG00000001518,1185,778,1330,1159,1329,1230,1005
ENSMUSG00000001520,0,0,1,0,0,2,2
ENSMUSG00000001521,2367,1437,2454,2233,3204,2202,2573
ENSMUSG00000001524,1771,1720,1655,1448,1748,1826,1551
ENSMUSG00000001525,82154,101390,96392,87360,77556,85771,68351
ENSMUSG00000001542,507,654,706,601,532,844,737
ENSMUSG00000001552,18523,17715,17678,14592,14779,17470,19093
ENSMUSG00000001555,1405,4212,825,986,640,485,1350
ENSMUSG00000001558,35,35,17,28,75,60,59
ENSMUSG00000001566,36,12,22,30,30,42,49
ENSMUSG00000001569,4698,4292,5559,5085,4370,4913,4143
ENSMUSG00000001576,5729,5319,4671,4257,5278,5625,5904
ENSMUSG00000001583,500,203,254,310,620,588,357
ENSMUSG00000001588,10217,11668,7575,7522,9286,7641,9823
ENSMUSG00000001604,719,312,358,443,400,571,989
ENSMUSG00000001622,0,0,1,0,3,0,0
ENSMUSG00000001627,4230,3314,6534,5946,5118,5091,4738
ENSMUSG00000001630,1297,637,1272,1103,1360,1372,1454
ENSMUSG00000001632,5452,3258,6017,5463,7296,6046,5340
ENSMUSG00000001642,2290,1091,2880,2749,3487,2638,2271
ENSMUSG00000001655,553,236,555,529,412,588,883
ENSMUSG00000001656,101,46,81,71,17,79,100
ENSMUSG00000001657,100,17,68,69,29,104,88
ENSMUSG00000001661,136,11,103,98,18,192,198
ENSMUSG00000001663,2,3,1,0,2,5,8
ENSMUSG00000001665,160,50,118,93,134,67,195
ENSMUSG00000001666,521,351,530,490,503,653,549
ENSMUSG00000001670,0,0,0,3,0,5,0
ENSMUSG00000001672,175,103,187,146,187,273,192
ENSMUSG00000001674,6909,5618,6929,6289,6198,6377,5905
ENSMUSG00000001687,2203,2079,2374,2133,1990,2613,2531
ENSMUSG00000001700,1405,1555,1467,1239,1272,1899,1528
ENSMUSG00000001707,4411,3460,4806,4279,4311,4819,3998
ENSMUSG00000001729,14086,16172,17253,15368,16181,17774,12620
ENSMUSG00000001739,6,8,7,13,12,40,20
ENSMUSG00000001741,0,0,0,2,0,0,1
ENSMUSG00000001750,4144,2778,5627,4201,4671,5902,3888
ENSMUSG00000001751,342,329,229,173,265,256,295
ENSMUSG00000001755,3032,3303,2237,2110,2890,3294,2711
ENSMUSG00000001761,2115,1688,1863,1919,2394,1602,2055
ENSMUSG00000001763,572,216,589,578,449,515,555
ENSMUSG00000001767,3310,2825,3447,3353,2915,3646,2916
ENSMUSG00000001768,6444,1635,4240,4385,2492,4783,6400
ENSMUSG00000001773,0,1,0,0,0,0,0
ENSMUSG00000001774,6211,5796,7417,6804,5261,6050,5231
ENSMUSG00000001783,9254,7807,8512,7684,8658,9271,8618
ENSMUSG00000001785,6069,5333,6301,5793,5575,6359,5614
ENSMUSG00000001786,1191,906,997,843,1034,1289,1191
ENSMUSG00000001794,9384,11208,10555,8597,10831,10300,8211
ENSMUSG00000001802,443,514,577,364,227,431,352
ENSMUSG00000001804,0,0,1,1,0,0,1
ENSMUSG00000001815,2,2,0,2,0,0,1
ENSMUSG00000001819,545,206,529,496,174,330,369
ENSMUSG00000001823,8,0,2,2,0,2,6
ENSMUSG00000001827,1571,404,2980,1964,887,2427,1960
ENSMUSG00000001829,3342,2060,3017,2479,2734,3806,3508
ENSMUSG00000001833,13652,12675,13616,13666,10173,11928,12914
ENSMUSG00000001844,1433,1251,1334,1158,1417,1510,1296
ENSMUSG00000001847,20369,19023,21985,20297,16898,20118,17656
ENSMUSG00000001855,8986,6775,8474,8217,7558,8195,8380
ENSMUSG00000001864,942,1053,1646,1411,1244,2152,1063
ENSMUSG00000001865,0,0,0,0,0,0,0
ENSMUSG00000001870,483,183,452,394,516,227,223
ENSMUSG00000001891,2063,2491,2289,2041,1814,2332,2439
ENSMUSG00000001901,4,0,4,4,4,4,3
ENSMUSG00000001909,7087,6068,6889,6364,6635,6662,5913
ENSMUSG00000001910,4725,4766,3191,3363,3314,3607,5040
ENSMUSG00000001911,488,473,486,449,393,531,667
ENSMUSG00000001918,2888,1156,2094,2391,2481,3582,3145
ENSMUSG00000001924,23716,23428,25133,22936,21002,24815,21853
ENSMUSG00000001930,11,9,2,6,16,26,28
ENSMUSG00000001942,965,988,886,642,696,1058,889
ENSMUSG00000001943,4,1,7,8,0,3,9
ENSMUSG00000001946,135,111,145,67,46,274,131
ENSMUSG00000001948,60,117,74,37,73,74,78
ENSMUSG00000001962,4614,3283,3906,3404,4057,4442,4058
ENSMUSG00000001964,3927,3237,3620,3333,3297,4082,3898
ENSMUSG00000001983,855,763,789,790,815,881,873
ENSMUSG00000001985,1223,784,1048,970,467,1133,1267
ENSMUSG00000001986,0,0,0,0,0,0,2
ENSMUSG00000001988,33,16,9,23,2,11,41
ENSMUSG00000001995,14653,7832,11812,10314,11115,14049,12633
ENSMUSG00000001998,1155,1104,1085,983,768,1079,1105
ENSMUSG00000001999,1768,1521,1630,1436,1743,1890,1693
ENSMUSG00000002006,128,134,148,133,138,98,110
ENSMUSG00000002007,1,0,0,0,0,0,0
ENSMUSG00000002010,6144,5514,5504,5248,5301,6533,5649
ENSMUSG00000002012,325,150,125,149,154,319,408
ENSMUSG00000002014,3587,3118,3839,3451,3203,4168,3105
ENSMUSG00000002015,6488,5770,7551,6143,5926,7915,6081
ENSMUSG00000002017,2390,2069,3144,2639,2449,3169,2464
ENSMUSG00000002020,140,76,126,102,57,125,141
